index,product_name,about_product,review_title,review_content,img_link
394,vw <number> cm frameless series hd ready led tv vw32 a,"resolution hd ready <number> x768 refresh rate <number> hertz viewing angle <number> degreesconnectivity <number> hdmi ports to connect set top box, blu ray players, gaming console <number> usb ports to connect hard drives and other usb devicessound <number> watts output powerful stereo output power audio, music equalizerdisplay a grade panel ipe technology true colour cinema zoom slim bezel cinema modewarranty information <number> year warranty provided by visio world from date of purchaseinstallation for requesting installationwall mountingdemo of this product once delivered, please directly call visio world support on please visit brand website for toll free numbers and provide products model name as well as sellers details mentioned on the invoiceeasy returns this product is eligible for replacementrefund within <number> days of delivery in case of any product defects, damage or features not matching the description provided","firestick plugging in issue, otherwise a good deal,cheap best product,low budget led tv,nice tv,very. good,why is the installation guy asking for installation charge,good budget tv,good tv but after using it for <number> days, has found a flaw","i got this for <number> k. at this price point, i believe the tv provides decent quality. you shouldnt expect amazing quality anyway from a <number> x768 screen resolution. the audio is also okay. beyond <number> the audio starts cracking.from a viewing distance of <number>-<number> ft the quality looks good.please note you will struggle quite a bit to directly add a firestick to the hdmi port. they have given some other ports right next to the hdmi ports because of which the firestick doesnt have proper space to fit properly unless you really shove it in there. my suggestion is to get an hdmi extender for it.overall, id say, for a small room, its a <number>.,value for money, satisfied with the product till now,this led tv low budget good performance but picture audio not good,httpsm.media-amazon.comimagesi61 qvxyp2 mcl.sy88.jpg,good,tv is great but the installation guy asked me for <number> paid installation... misleading information but again for this price its good tv. dont pay installation guy you can do it yourself,i will give it <number> stars out of <number>. i bought this <number> inch vw at <number> after discounts. picture quality and sound quality is good.i added firestick to it and it voila became smart tv. the connections to attach these usbs are at the bottom part of the tv which is slightly different from other tvs.so far, working as it should.revising this after <number> days, the tv is not responding to switch off button. this is happening more when i watch the tv for a few hours and then when i switch off the tv with the firestick remote, the yellow colour indicator down below does not turn red, instead it remains yellow. as far as screen is concerned, the tvs screen changes to black whitish, seems to me that the tv goes into hibernation or sleep mode. this is a fault of the tv as a normal tv should swith off completely and the indicator should turn red. i have called technician tomorrow and if he checks and if he agrees, then i should get a replacement as i got still <number> days time to replace it.just a helping note for people buying this tv if you are going to connect firestick to it, as it asks for the brand name of the tv, you can select vu and it will perfectly work on your firestick. thanks and enjoy!",https://m.media-amazon.com/images/I/418GxB04szL._SY300_SX300_QL70_FMwebp_.jpg
398,"agaro marvel <number> liters oven toaster griller, cake baking otg","bake, grill, toast and more1 year manufacturers warrantyautomatic thermostat i auto shut off i ready bell. cavity material stainless steelheat resistant tempered glass window with cool touch handleadjustable temperature from <number> c to <number> c","excellent otg and even excellent price range,good product,very good product at its price range,great to use and makes tasty food,awesome,packaging was good, received the product at the right time.,value for money,worth","excellent heat distribution, perfectly cooks, heats nd grills, great for cakes, pizzas, roasting..plus great price range,very good products, simple controls and easy to use. at a time <number> to <number> six inch baking tin can be kept. rotisserie work well with <number> to <number> kg chicken easily. since there is no crumb tray provided, wondershef <number> l crumb perfectly fit. which is available on amazon. packaging was not good no bubble wrap and only few pieces of thermoco, due to that some dents were there. since we liked the product and dont want to wait again we kept it.,agaro has provided a very good product at decent price range. amazon has delivered the product in a very nice and safe package. entire package did not had even a single mark. otg is very easy to use and very useful for food lovers. i have however felt necessity of improvements on two things <number> it is very difficult to set exact time and temp in manual nob and <number> power plug size is small and difficult to tight fit into <number> amp plug.,dont go on its small size...it makes wonderful cakes and bread.,though overall quality is good.,oven is great for making cakes and grilling too,excellent product.. value for money,a good product. got more than what i expect",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41LKiR8QpwL._SX300_SY300_QL70_FMwebp_.jpg
399,"syvo wt <number> aluminum tripod , universal lightweight tripod with mobile phone holder mount carry bag for all smart phones, gopro, cameras - brown","lightweight and compact weighs just over a pound. extends to <number>, <number>, <number> and <number>. minimum height <number>. carrying case included.. centre shaft jacking systemturn this button lightly to control jacking system. when the button is loose, the center shaft can up and down easily. when the button turn to tight, the height can be fixed. camera can up and down smoothly and moving stably. the fully extended length can up to <number> cm.universal cellphone holder easy attachment padded grip to avoid cellphone damage adjustable phone adapter fits all phone with a maximum stretch width of <number>.level indicator built-in bubble view levels and <number>-way head to allow for tilt and swivel motion portrait or landscape options.widely compatible compatible with all video cameras, digital cameras, still cameras, projector, gopro devices, smart phone adapters, and scopes.3-section, lever-lock legs uneven terrain need to frame the shot just so the tripod effortlessly accommodates custom set-ups thanks to its lever-lock legs, each with three extendable sections.lightweight and compact weighs just over a pound. extends to <number>, <number>, <number> and <number>. minimum height <number>. carrying case included.. centre shaft jacking systemturn this button lightly to control jacking system. when the button is loose, the center shaft can up and down easily. when the button turn to tight, the height can be fixed. camera can up and down smoothly and moving stably. the fully extended length can up to <number> cm.universal cellphone holder easy attachment padded grip to avoid cellphone damage adjustable phone adapter fits all phone with a maximum stretch width of <number>.","very good for beginners,light weight sturdy,product is good and light weight.,excellent,easy to use and light weight to carry,superb tripod, im happy,good product,ok good","i recently purchased a tripod online from amazon and i am very pleased with the purchase. the product arrived quickly and was well packaged, making it easy to set up. the construction is solid and sturdy, allowing me to confidently use my camera without fear of any wobbling or shaking. in addition, the price was extremely affordable compared to similar products on other sites. overall, i would highly recommend this product for anyone looking for an inexpensive yet reliable tripod!,product is good as expected, sturdy, light weight and good for beginnersthank you,product is good and light weight.,i like it very much the product was amazing at affordable price it very useful and helpful for beginners,it is very easy to use and light weight to carry around. great tool for clicking pictures on a scenic holiday.,its stability is perfect. beginners can start with it,like the stability and mobile holder,simply superb this one for phones cameras",https://m.media-amazon.com/images/I/41Fm0YcrDqL._SX300_SY300_QL70_FMwebp_.jpg
400,portronics modesk por-<number> universal mobile tabletop holder,"modesk - a premium quality mobile holders for your ofce desks. it can hold, on your work desk, any type of smartphone tablets with size up to <number> inches easilymodesk is a aluminum abs metallic body desk mobile holders which is rust and corrosion proofit has angular design which gives perfect viewing angle of your smartphone on the desk so you can easily and privately see incoming calls, respond to messages without the risk of prying eyesthe antiskid silicon pads on the body prevents accidental slips and protection from scratchesfor any issue email customer support helpportronics.com","good one,cannot set tha <number> vertical angle,best,nice to use,avarage,value for money.,it does what it is supposed to,good","strong enough, good one to hold.,its serves the simple purpose of holding phone..but its not possible to make a phone sit in <number> ..phone slants back little.. i use pen adjusted at back to keep phone in <number> angle.. worth for simple use,best,nice,avarage,sturdy product.,effective product for this price range,good",https://m.media-amazon.com/images/I/31mbyi7ocJL._SX300_SY300_QL70_ML2_.jpg
401,"boat stone <number> <number> w bluetooth speaker with upto <number> hours playback, ipx5 and integrated controls","experience the true immersive sound with a pumping driver delivering <number> w of audio and connect to the music that you loveits powerful <number> mah battery offers a playback time of up to <number> hours. impedance <number>, sensitivity db <number> db3 db, frequency response <number> ghz-<number> gkhz. memory card supported yesstone <number> is ipx5 rated offering protection against water and dust. charging time <number> hoursits integrated controls allow for an easy user interface, ensuring that nothing stands between you and your favourite musicit offers dual connectivity via its bluetooth v4.2 and aux1 year warranty from the date of purchase","sound quality boat stone <number> vs nakamichi speck vs boat stone <number>,its just a speaker with less sound,okay to buy,sound is not much loud in maximum volume,boat rocks always,excellent ,vfm product but theres more to it. read on!,excellent sound quality, i like this speaker sooooooo much","this is review is primarily focused on sound quality.the term bass is used losely. one doesnt expect true bass from such small drivers.shorter versionboat stone <number> very loud. loud and somewhat uneven bass. mids are a bit supressed. somewhat muffled midrange. decent treble. a loud bassy speaker.nakamichi speck barely louder than the <number> w stone <number>. mids clearer than <number>. bass much much lower than <number>. if looking for vfm rule this one out, unless this is on a big discount and others arent. overall fairly even sound, at a questionable price and volume.boat <number> more bass than expected of a tiny <number> w speaker, but lesser than speck, and way lesser than <number>. excellent midrange and terble. much lounder than what you may expect of a <number> w speaker. amazing speaker in a tiny package, with insufficent bass.longer versioni have had the <number> for years and many have asked me to order it for them. it is an excellent tiny satisfying package. the midrange, vocals and treble is excellent, and matches speakers several times it price. if bass is not what you are after, you are unlikely to find a better package even at a much higher price point, especially if you care for even sound.by even sound, i mean all relevant frequencies produced fairly well - no major suppression or enhancementi checked the others as i usually hear music on a semi-pro system, and the insufficent bass lower-mids bothered me.nakamichi used to be a japanese company making very high end tape decks in the <number> s so the benchmarks were high now it is a china based company. the <number> w raised expectations further. as said, it is barely louder than the <number> w stone <number>. it is fairly even sound, but not a significant enough improvement in bass over the <number>. if you dont care about the money, and want something better, than the <number> with even sound, this could be it. the mids and terble, are a tiny bit better in the <number>. speck also has a larger battery, giving substantially longer backup, and better water protection useful if you use yours in the smallest room of the house the stone <number> is miles ahead in bass and loudness. if that is what you care for, amongst the <number> - your choice is simple. the bass is uneven, however. all three speakers have memberanes in the inner shell acting as passive bass radiators. one should not expect much nuance in bass from those. if a thump is what you care for - yes it is certainly there for the size. with somewhat uncontrolled bass, the midrange is compromised - somewhat suppressed and somewhat muffled. no, it is not major, and many mgiht not even really notice it much. the transiton between mid and lower-midsbass isnt great. one usually doesnt expect as much from such speakers, but the boat stone <number> set the bar high - very high.keep the boat stone at an angle such that the drivers speaker are in the direction of your ears. it makes the midrange a bit better. reduces the bass a bit, but makes the sound more even. tough it is impractical to keep it so, it makes the sound a lot closer to what i desire.some extrasplacement of these speakers makes a big difference. keep them about <number> away from a wall ideally a corner for enhanced bass and fuller sound.if you look at teardown videos, youll notice that the <number> has much bigger magnets than the others. it is a heavy speaker. i like that, since it keeps it stable and the rubber on the side helps further. it is well designed, except the and - volume buttons should have been interchanged for intuitive use.the <number> can also be placed vertically. that too changes the sound. lesser bass, and possibly a bit clearer on the whole reduced bass less intrusion into the mids, in such speakersspeaker characterics change subtly over <number> odd hours of use. often quite prominent in the first hour, so do not form an opnion before running them in for about an hour.conclusionnakamichi speck more even sound than the other two, not at all as loud as expected, better waterprof rating, bigger battery, high priced, despite chinese - buy if you dont care for the money, volume and are okay wihtout much bass.boat stone <number> it is a star! excellent even sound, however the lack of bass as compared to the others pulls it back. if you are on a budget, or if you dont care much for bass especially for lecturesdocumentaries or vocal music this is brilliant. i have used it for long.boat <number> heavy. loud. lots of bass. if you can deal with the somewhat and it is not big unevenness and slightly muffled sound - it is a good package.for my needs, i added the <number> to my equipment list, while keeping the <number>.ps this was my way of giving back to the community for the numerous reviews i have gained from.,sound,its okay to buy,sound is not much loud, its below my expectations,1. low price2. awesome sound3. battery life should be more so cutting down <number> star but overall good4. gives feeling of home theatre5. multiple connectivity is also good.,loved the product",https://m.media-amazon.com/images/I/41rfSd9spqL._SX300_SY300_QL70_FMwebp_.jpg
402,"stylehouse lint remover for woolen clothes, electric lint remover, best lint shaver for clothes","rejuvenate fabrics keep tidy - restore your clothes and fabrics to a fresh new look! powerful engine can easily and gently remove fluffs, lints, pilling, fuzzes and bobbles from fabrics like bed sheets, cushions, sweaters, woolen coats, curtains, carpets and more!make all fabrics look brand new even the highest quality of fabrics require a little rejuvenation every now and then, and this fabric shaver features a sharp stainless steel razor blade that will make quick work of damaged fabrics and make them look good as new.ergonomic design with a battery powered motor specially designed and lightweight with a <number> handle so its easy to grip while you efforlessly defuzz your fabrics at any angle. the motor generates a strong suction when the blades are rotating for maximum effect.easy to use simply push the switch on button and gently skim it across the fabric in a circular motion to remove all the unwanted excess. once the fabric is back to pristine condition, the excess tray slides out to empty. the expanded blade surface covers a larger area, finishing the job quicker and easier.dual protection the adjustable height spacer protects your garments from being cut or snagged or caught. it also protects and reinforces your hands from accidentally touching the shaver foil. a cleaning brush is included in the pack to help you easily clean your appliance after use.","good product,nice product,good product,good,i made my sweaters look like brand new.,nice product,perfect to clean lints easily,good product","tried on woolen clothes and it really worked. really a useful product but only reason i am giving <number> star is because of the short wire length. wire length should be bit longer else its amazing product.,easy to usetime takingbut cleans clothes,httpsm.media-amazon.comimagesi81 qega-fo1 l.sy88.jpg,good for this price range but not sure about durability but product is good,it does its job very well, it gave new life to my clothes. i just have a single complain and that is regarding its dust collector lid or container it is little bit loose because of this sometimes all dust and wool particles spills all around.,easy to use.. i like this product, all my problems of clothes are solved.,nice product i really like it easily clean lints but caps was little loose,its a decent product and very easy to handle. not sure of the durability as its been over a week only. will update the review after some few months.",https://m.media-amazon.com/images/I/415CYtympZL._SX300_SY300_QL70_FMwebp_.jpg
403,"pick ur needs lint remover for clothes high range rechargeable lint shaver for all types of clothes, fabrics, blanket with <number> extra blade multicolor","elegant ergonomic design ergonomic design, the pilling remover for clothes has an easy-grip handle which offer users a comfortable experience. fabric shaver fuzz remover, small and portable, a perfect garment care tool.good housekeeping for most fabrics this fabric shaver can easily remove lint balls, pills and fuzz. its suitable with your sweaters, jerseys, blankets, bed sheets, upholstery, couch, curtains, drapery, duvets and more keep everything looking fresh.durable blades larger dust container high-strength stainless steel blade provides a long working time for years, and the <number> extra blades can be easily used to replace the unsharp one. in addition, a large-capacity removable dust container is enough for a massive laundry clean and it is also easy to be emptied.usb charging cord battery available this sweater defuzzer not only works by plugging it in, but also by using batteries. external power ensures you can update clothing and furniture at home faster and continuously.easy to use small and portable handheld device. removable collector bin for quick lint pick-up and disposal.","worth the money,its goog,nice easy to use product,not good,wonder product!,good product,right product at right price,value for money","its easy to use and is okay i guess, doesnt clean the lint completely but enough to not be spotted from the viewers point of view,its good,nice easy to use product,its very bad and within <number> <number> use its not working,if you have found this product, then please, do not go away without getting it. its a wonderful product. you have to use it to know how great it is! if i could give <number> stars, i sure would have.,everything is good except the lid which collects fibres from clothes does fit tightly.overall good product. one time investment, better than roller lint removers.,product is working as expected and handling is also easy. good to have product as some clothes develop lint and looks old very easy. after using this product cloth is looking like new.,had battery operated lint remover earlier but this is power plugged hence power is optimum at all times. good fan size and great blade cutting.extra blade also in the kit only used twice so durability cant be reviewed. handling etc is fine. totally worth it.",https://m.media-amazon.com/images/I/419vF7uEFEL._SX300_SY300_QL70_FMwebp_.jpg
404,"amazonbasics high speed <number> watt oscillating pedestal fan, <number> mm sweep length, white","high speed pedestal fan with top speed of <number> rpm generating air delivery of <number> cmm to <number> cmmcomes with aerodynamically designed blades and <number>-speed options. total sweep length <number> mmcools wide areas using automated oscillation function with coverage of <number> degree. jerk free and smooth oscillation for uniform coolingeasy to operate with <number> angles of vertical tilting that can be adjusted with a single hand. height can be adjusted from <number> cm to <number> cm. power <number> wtested against international standards on multiple parameters for durability, safety and performance. tested for stability and safety against electric shock and fire hazard2 years limited warranty on manufacturing defectsmounting type free standing material type plastic controller type remote control","good quality fan,good one...,fraud,no remote control,value for money,easy to assemble,no remote control but i think worth for moneybcz low budget pedestal fan,good,nice fan","good design, less noisy and good air through,good one.. more than expected... but cant tilt down as much... better change it to screw to adjust up down..,remote is not provided.,remote included as mentioned on qa sectionsbut not available,dislike1 no remote control <number> noise level highlike1 worth for money <number> easy to assemble <number> ok good product tq,good productyou can buy it,nice fan which one can consider at this price but should have different colour options white gets dirty early which needs care regularly otherwise nice product",https://m.media-amazon.com/images/I/418vOzm6DZL._SX300_SY300_QL70_FMwebp_.jpg
407,"philips hd697500 <number> litre digital oven toaster grill, grey, <number> liter","capacity <number> litres, s for <number>-<number> peoplecooking capability baking, grilling, toastingpowerful <number> w, ready signalopti temp technologyeven browning one touch <number> preset menuone-touch preheat functionalityincludes oven toaster grill,baking tray, grill rack, tong, crumb tray and skewer rods90 minutes auto cut-offcapacity <number> literswarranty <number> year warranty on productsize name <number>-litre","love it,very good product quality,awesome product,phillips otg,it has the maximum temperature of <number> last .,looks good, easy and smart working,good product,good quality","bought this product after going through lots of reviews on amazon and other websites. i can say that the product is worth it. the first dish we tried on for new year was tangdi kabab. it was perfectly cooked. awesome product for a family of <number>-<number> members.,its worth the money,everything is okgo for iteasy to use,this otg is a sturdy product and very easy to operate. bakes and cooks in much less time.,the product is average for grilling . it tooks too much time .,superb purchase as we were thinking to buy otg and this is a perfect one,good product,nice product",https://m.media-amazon.com/images/I/417VKyMXuYL._SX300_SY300_QL70_FMwebp_.jpg
408,"rc print gi <number> ink refill for canon g1000, g1010, g1100, g2000, g2002, g2010, g2012, g2100, g3000, g3010, g3012, g3100, g4000, g4010","inks designed specially for use with your printers. inks are made with matching specifications to original company inks.excellent color matching performance of the inks. prints true colors in photos.high yield easy to refill -- black <number> ml , color <number> ml <number> pagesblack , <number> pagescolors as per printing at <number> coveragecompatible printers --for canon pixma g1000 , g1010 , g1100 , g2000 , g2002 , g2010 , g2012 , g2100 , g3000 , g3010 , g3012 , g3100 , g4000 , g4010 , g1900 , g2900 , g3900 , g1800 , g2800 , g3800 tips if this is your first time ordering compatible dye ink, please thoroughly clean the ink tank and print head before using our product, because the dye ink and pigment ink cant be mixed the difference between dyes and pigment inks on paper dye ink is easy to blooming and blurred when it meets water but pigment ink will not","value for money,ink,great,best in the market,value for money,its awesome,very good ink as expected ,very good product","good product cheap and best for alternative ink refilling print quality is okay well packed we can refill <number> times compared to original ink there is no different between original and this one really i am satisfied dont waste your money for only brand lables,good quality ink,like. im using this product for office caon printer.,without thinking just go for it, it prints so well and you will never regret! got it in an affordable price !,i have used them before they bear good print quality and the bottle quality is also nice. i can say these are economical,in this product.. ink quality is too good,very good ink as expected . and genuine product. and my g3010 printing is fine. no head problem. thank you seller for good packing and amazon .,very good product i always use it",https://m.media-amazon.com/images/I/512ah5e1LsL._SY300_SX300_QL70_FMwebp_.jpg
409,"tp-link ac600 <number> mbps wifi wireless network usb adapter for desktop pc with <number> ghz5 ghz high gain dual band <number> dbi antenna wi-fi, supports windows <number> xp, mac os <number> and earlier","high-speed wi-fi <number> qam support increases the <number> ghz data rate from <number> mbps to <number> mbps, <number> mbps on the <number> ghz band and <number> mbps on the <number> ghz band, ensure you fully enjoy fast ac wi-fi.dual band wireless <number> ghz and <number> ghz band provide flexible connectivity, giving your devices access to the latest dual-band wi-fi router for faster speed and extended rangehigh-gain antenna a <number> dbi high-gain antenna greatly enhances the reception and transmission signal strength of the usb adaptersupports the latest operating systems fully compatible with windows <number> xp, mac os <number> and earlierin an unlikely case of product quality related issue, we may ask you to reach out to brands customer service support and seek resolution. we will require brand proof of issue to process replacement request.","works flawlessly on ubuntu <number> if installed correctly,best for kali. do not read another review.,nice product,from <number> to <number> ,good external wifi signal provider,superb,awesome and easy to use,good product","i am using this on an old mac mini, since the broadcom proprietary drivers arent available and the replacement b43 drivers dont allow for sufficient download speeds, at least in my experience. i got this device up and running with ubuntu <number> with linux <number>.0-<number>-generic.google search for morrownr8821 au-<number> and use the driver on github. im using the product tp-link ac600 btw. if you are using the other variant sold on amazon, use lsusb and find out which network interface you are going to have to install drivers for. giyf.i will admit, this is probably going to be hard for someone who is not generally comfortable with a shell, bash for example. but even though i had never used dkms or iw before, the github repo along with the build tools available in the jammy repo made it easy enough to get the device working read the github readme.to be sure i first got the drivers working in a local ubuntu vm using guest additions to connect to the usb device directly from the guest os, which also worked.ultimately, i installed the os on the host and setup the drivers using usb tethering. i then got the same download speed using this device i was previously getting on my other network interfaces on windows and mac, but now on ubuntu.the device itself is a bit sensitive to the antenna direction when it comes to the impact on download speed. have been using for about a month now without complaints.,do not go for reviews that say that it do not support kali. me and some of my friends all are using it for wi-fi hacking and it works really well, it also supports monitor mode. if you are having issues in connecting it to your kali machine then just go through the web surf a bit and you will find relevant articles on how to connect this tp link adapter to your kali machine. there is also a driver of realtek which you might need to install to make it work in your kali machine.i have given it <number> stars just because the performance if not good as the alpha adapters which is reasonable for this range of price but in this range and for as a beginner it is the best adapter you can buy.,nice product. working fine. my pc is now <number> g price is too high so giving <number> star,got the wi-fi in one of the rooms from <number> to <number>. has been working well since a month now. good alternative to a repeater if only a single device needs to access the wi-fi from a corner.,the product is very nice and have good wifi signal. using this for over a month now, no complain. but when it for the first time, you need to install the driver on your desktoplaptop from the tp link website to make it operational, which is not very well explained in the manual.,this product is very good,i have buy this product because my laptop dont support wifi <number> ghz band, in <number> ghz i receive <number>-<number> mbps speed only but my broadband plan is <number> mbps.1. easy to use plug and play windows <number>. good signal i am using another room from router no signal drop , i receive full signal.3. little bit expensive but go with this because of good signal.4. i receive <number> mbps download and <number> mbps upload speed on <number> ghz and my broadband plan is <number> mbps.i highly recommend this product.,i purchase this product for company use and this is a very good product.",https://m.media-amazon.com/images/I/216Q4FqmZVL._SX300_SY300_QL70_FMwebp_.jpg
410,"tp-link ac600 <number> mbps wifi wireless network usb adapter for desktop pc with <number> ghz5 ghz high gain dual band <number> dbi antenna wi-fi, supports windows <number> xp, mac os <number> and earlier","high-speed wi-fi <number> qam support increases the <number> ghz data rate from <number> mbps to <number> mbps, <number> mbps on the <number> ghz band and <number> mbps on the <number> ghz band, ensure you fully enjoy fast ac wi-fi.dual band wireless <number> ghz and <number> ghz band provide flexible connectivity, giving your devices access to the latest dual-band wi-fi router for faster speed and extended rangehigh-gain antenna a <number> dbi high-gain antenna greatly enhances the reception and transmission signal strength of the usb adaptersupports the latest operating systems fully compatible with windows <number> xp, mac os <number> and earlierin an unlikely case of product quality related issue, we may ask you to reach out to brands customer service support and seek resolution. we will require brand proof of issue to process replacement request.","works flawlessly on ubuntu <number> if installed correctly,best for kali. do not read another review.,nice product,from <number> to <number> ,good external wifi signal provider,superb,awesome and easy to use,good product","i am using this on an old mac mini, since the broadcom proprietary drivers arent available and the replacement b43 drivers dont allow for sufficient download speeds, at least in my experience. i got this device up and running with ubuntu <number> with linux <number>.0-<number>-generic.google search for morrownr8821 au-<number> and use the driver on github. im using the product tp-link ac600 btw. if you are using the other variant sold on amazon, use lsusb and find out which network interface you are going to have to install drivers for. giyf.i will admit, this is probably going to be hard for someone who is not generally comfortable with a shell, bash for example. but even though i had never used dkms or iw before, the github repo along with the build tools available in the jammy repo made it easy enough to get the device working read the github readme.to be sure i first got the drivers working in a local ubuntu vm using guest additions to connect to the usb device directly from the guest os, which also worked.ultimately, i installed the os on the host and setup the drivers using usb tethering. i then got the same download speed using this device i was previously getting on my other network interfaces on windows and mac, but now on ubuntu.the device itself is a bit sensitive to the antenna direction when it comes to the impact on download speed. have been using for about a month now without complaints.,do not go for reviews that say that it do not support kali. me and some of my friends all are using it for wi-fi hacking and it works really well, it also supports monitor mode. if you are having issues in connecting it to your kali machine then just go through the web surf a bit and you will find relevant articles on how to connect this tp link adapter to your kali machine. there is also a driver of realtek which you might need to install to make it work in your kali machine.i have given it <number> stars just because the performance if not good as the alpha adapters which is reasonable for this range of price but in this range and for as a beginner it is the best adapter you can buy.,nice product. working fine. my pc is now <number> g price is too high so giving <number> star,got the wi-fi in one of the rooms from <number> to <number>. has been working well since a month now. good alternative to a repeater if only a single device needs to access the wi-fi from a corner.,the product is very nice and have good wifi signal. using this for over a month now, no complain. but when it for the first time, you need to install the driver on your desktoplaptop from the tp link website to make it operational, which is not very well explained in the manual.,this product is very good,i have buy this product because my laptop dont support wifi <number> ghz band, in <number> ghz i receive <number>-<number> mbps speed only but my broadband plan is <number> mbps.1. easy to use plug and play windows <number>. good signal i am using another room from router no signal drop , i receive full signal.3. little bit expensive but go with this because of good signal.4. i receive <number> mbps download and <number> mbps upload speed on <number> ghz and my broadband plan is <number> mbps.i highly recommend this product.,i purchase this product for company use and this is a very good product.",https://m.media-amazon.com/images/I/216Q4FqmZVL._SX300_SY300_QL70_FMwebp_.jpg
412,agaro blaze usb <number> to usb type c otg adapter,multipurpose functionshigh speed usb <number> charge and sync on the gopower sharing functionmetal body,"very good quality.,nice product,not a fast charger....,nice,a good type c adapter,nice product,value for money and easy to use.,good","like quick data transfer, dislike geting hot itself in <number> minutes and let other pendrives getting hot also.,product, built quality, transfer speed all good. small in size so easy hold and carry anywhere. but the bill i received nothing is visible on it.,not charge fast..not looks <number> w charger..cable are good,well,i purchased it to copy stuff from my phone to usb and vice versa. it works well for that purpose. the fitting is perfect and no connection issues.,httpsm.media-amazon.comimagesi71 jnasjtmul.sy88.jpg,good product.,working fine",https://m.media-amazon.com/images/I/212redZnCCL._SX300_SY300_QL70_ML2_.jpg
413,zodo <number>. <number> inch lcd e-writer electronic writing padtablet drawing board,size <number>. <number> inchgood grade,"good,kids love this,simply superb,happy,good,nice gift for toddlers..... good for elders too, to mak notes,nice,useful","goid,best education gadget for kids,brightness needs to improved,nice,good,liked by kids, hassle free, dust free.can improve the screen brightness n font visibility,good,i ordered black but it came blue , although not a big issue colour doesnt matter tht much but functioning is ok so its good..!!",https://m.media-amazon.com/images/I/51JF5xTgNhL._SX300_SY300_QL70_FMwebp_.jpg
414,"boat rockerz <number> bluetooth on ear headphones with mic, upto <number> hours playback, <number> mm drivers, padded ear cushions, integrated controls and dual modes","playback- it provides a massive battery backup of upto <number> hours for a superior playback time. charging time <number> hoursdrivers- its <number> mm dynamic drivers help pump out immersive hd audio all day long.earcushions- it has been ergonomically designed and structured as an on-ear headphone to provide the best user experience with its comfortable padded earcushions and lightweight designcontrols- you can control your music without hiccups using the easy access controls, communicate seamlessly using the built-in mic, access voice assistant and always stay in the zonedual modes- one can connect to boat rockerz <number> via not one but two modes, bluetooth as well as aux1 year warranty from the date of purchase","authentic review,overall its a good headset.,not for me,nice product,best,amazing product,its a wonderful boat product,good product of boat","best budget headphones. im procured this headphones in <number> and now is <number> when im writing. it has some prominent problems first is head adjustments get losse after <number> year and after one and half year cushions get also strat rip off thereof third initally battery was awesome i remember that i used to use my headphone <number> week in singal charge even whereas it always left connected over the night and start useing after wake up. its my tendency, i dont endow rest to devices notwithstanding this its is still alive and working as before but now it works <number> week in singal charge.,its a good product but now days many brands offer better than this at tha price range.,its a nice product. mic quality is also good. battery back up is good.,best part of the headphone is the battery backup..its huge.i love this product,but if it built to be a overhead,thank you boult,httpsm.media-amazon.comimageswwebp402378-t2 imagesi61 d4 czxo9 al.sy88.jpg,good product of boat",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/315vj6oj-FL._SX300_SY300_QL70_FMwebp_.jpg
416,"elv aluminum adjustable mobile phone foldable tabletop stand dock mount for all smartphones, tabs, kindle, ipad","multi-angle adjustable stand free rotation of <number> degree viewing angle ensure the perfect angle of view and enhance the audiovideo experiencestylish design durable aluminum body, with a sturdy construction, can hold your phone steadilyenjoy life its convenient to cook meals when you learn cooking through video teaching, without worrying about soiling the smartphonesanti-slip pad the anti-slip pad works perfect to keep your devices in place while in use and prevent from daily scratches and slidingfully foldable elv cell phone stand for desk can be fully folded to pocket-size, which will save you plenty of space and make it easy to carry anywhere very convenient for daily life1 year manufacturing warrantycountry of origin india","good one,almost perfect,go for it,good product,its folding system is good,very good product,great stand sturdy and good quality,good quality","good quality. can buy if its price is below <number>,good product but little expensive,good product, holds mobile and mediumsize tab.,a little costly,very nicely designed mobile holder with good quality. the best that i have purchased so far. go for it.,the package arrived a days early and it is a great product for the price its is very sturdyand looks of good quality,excellent product, good build quality, bigger compared to similar products.",https://m.media-amazon.com/images/I/31hDWwY8iWL._SX300_SY300_QL70_ML2_.jpg
417,eveready <number> carbon zinc aa battery - <number> pieces,"evereadys zinc carbon battery are considered one of the best battery for remote controls, clocks, small toys, torches, etc.highly durable reliable technologyavailable in wide range of sizes - aaa, aa, d, c and <number> v sizes","value for money,as usual,good,best deal,very reasonable,great n cheap,awesome,not for camera","use remote car... wall watches... and other...,batteries are as usual nice,good,mrp <number> got it for <number>-best deal,good,got it on high discounts n works really well compared to other batteries.,value for money,dislike",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51MA5PwP6xL._SX300_SY300_QL70_FMwebp_.jpg
